asn;holder
209;CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company
513;CERN - CERN - European Organization for Nuclear Research
680;DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
852;ASN852 - TELUS Communications Inc.
1103;SURFNET-NL - SURFnet bv
1133;UTWENTE-AS - SURFnet bv
1257;SWIPNET - TELE2
1734;ROP-COCA-AS01 - Contra Costa County Regional Occupation Program / Richmond
1741;FUNETAS - CSC - Tieteen tietotekniikan keskus Oy
1759;TSF-IP-CORE - Telia Finland Oyj
1916;Associação Rede Nacional de Ensino e Pesquisa
2116;ASN-CATCHCOM - Broadnet AS
2119;TELENOR-NEXTEL - Telenor Norge AS
2516;KDDI KDDI CORPORATION
2518;BIGLOBE BIGLOBE Inc.
2519;VECTANT ARTERIA Networks Corporation
2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
2856;BT-UK-AS - British Telecommunications PLC
3265;XS4ALL-NL - Xs4all Internet BV
3269;ASN-IBSNAZ - Telecom Italia S.p.a.
3320;DTAG - Deutsche Telekom AG
3741;IS
4685;ASAHI-NET Asahi Net
4718;CKP Cyber Kansai Project
4739;INTERNODE-AS Internode Pty Ltd
4773;MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore
5381;POWTECH-AS - Broadnet AS
5432;BELGACOM-SKYNET-AS - Proximus NV
5466;EIRCOM - Eircom Limited
5603;SIOL-NET - Telekom Slovenije d.d.
5607;BSKYB-BROADBAND-AS - Sky UK Limited
5645;TEKSAVVY - TekSavvy Solutions
6648;BAYAN-TELECOMMUNICATIONS Bayan Telecommunications
6871;PLUSNET - British Telecommunications PLC
7015;COMCAST-7015 - Comcast Cable Communications
7247;MOJO - Mojo Networks
7922;COMCAST-7922 - Comcast Cable Communications
8121;LAYER42 - TCH Network Services
8426;CLARANET-AS - ClaraNET LTD
8708;RCS-RDS - RCS & RDS SA
8767;MNET-AS - M-net Telekommunikations GmbH
8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
9031;EDPNET
9146;BIHNET - BH Telecom d.d. Sarajevo
11351;RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
11426;SCRR-11426 - Time Warner Cable Internet LLC
12271;SCRR-12271 - Time Warner Cable Internet LLC
12322;PROXAD - Free SAS
12392;ASBRUTELE - Brutele SC
12578;APOLLO-AS - SIA Lattelekom
12715;JAZZNET - Orange Espagne S.A.U.
13030;INIT7 - Init7 (Switzerland) Ltd.
13319;S-I-S - Storm Internet Services
14877;PENNREN - KINBER
15659;NEXTGENTEL - NextGenTel AS
16117;GAVLENET - Gavle Energi AB
16735;ALGAR TELECOM S/A
18070;NDAC Global Network Core Co.
20001;ROADRUNNER-WEST - Time Warner Cable Internet LLC
20375;TEKSAVVY-WEST - TekSavvy Solutions
20625;HELSINGENET - Bollnas energi AB
23655;SNAP-NZ-AS Snap Internet Limited
24956;GDS-1 - Gaertner Datensysteme GmbH & Co. KG
29449;TWS-AS - TWS ITALIA SRL
31732;PARSUN-NETWORK-SOLUTIONS - PARSUN NETWORK SOLUTIONS PTY LTD
33652;CMCS - Comcast Cable Communications
34779;T-2-AS - T-2, d.o.o.
41164;GET-NO - Get AS
45873;NEHOS-AU Nehos Communications Pty Ltd
50989;SITABINFRA-NORDIC-AS - SITAB Infrastruktur
51615;KATENG-ASN - Zavod Kabelska televizija Nova gorica
53347;PREMIER-COMMUNICATIONS - Premier Communications
56304;THETOTALTEAM-AS-AP The Total Team Limited
197451;VUTBR-AS - Brno University of Technology
